Temperature (K)	Pressure (psia)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
295.00	828.80	0.57179	1.7489	10.344	11.656	45.504	20.745	120.35	143.83	0.16391	30.495	0.012096	vapor
295.00	830.28	0.57468	1.7401	10.332	11.640	45.441	20.798	121.85	143.70	0.16349	30.550	0.012164	vapor
295.00	831.77	0.57759	1.7313	10.320	11.623	45.377	20.851	123.40	143.58	0.16307	30.606	0.012234	vapor
295.00	833.25	0.58055	1.7225	10.307	11.607	45.313	20.905	124.99	143.45	0.16265	30.663	0.012305	vapor
295.00	834.73	0.58354	1.7137	10.295	11.590	45.248	20.960	126.63	143.32	0.16222	30.721	0.012378	vapor
295.00	836.22	0.58656	1.7048	10.282	11.573	45.182	21.015	128.31	143.19	0.16179	30.780	0.012452	vapor
295.00	837.70	0.58963	1.6960	10.270	11.556	45.116	21.071	130.05	143.06	0.16134	30.840	0.012527	vapor
295.00	839.18	0.59273	1.6871	10.257	11.538	45.050	21.128	131.83	142.93	0.16090	30.901	0.012605	vapor
295.00	840.67	0.59588	1.6782	10.244	11.521	44.982	21.186	133.67	142.80	0.16045	30.963	0.012684	vapor
295.00	842.15	0.59906	1.6693	10.230	11.503	44.914	21.244	135.57	142.66	0.15999	31.026	0.012764	vapor
295.00	843.63	0.60229	1.6603	10.217	11.485	44.846	21.303	137.52	142.53	0.15953	31.090	0.012846	vapor
295.00	845.12	0.60556	1.6514	10.203	11.467	44.777	21.363	139.54	142.39	0.15906	31.155	0.012931	vapor
